Date,Code,Name,buy_A_d0종가,buy_B_d1시가,buy_C_d1종가,매도가180일,매도일,ret_A,ret_B,ret_C,peak_180d,Year
2023-03-20,007660,이수페타시스,8635.0,8635.0,8684.0,28397.0,2023-12-11,228.8592935726694,228.8592935726694,227.00368493781667,387.6548928778228,2023
2023-03-17,007660,이수페타시스,8849.0,8858.0,8635.0,28203.0,2023-12-08,218.7139789806758,218.39015579137504,226.61262304574404,375.861679285795,2023
2023-03-16,007660,이수페타시스,8373.0,8839.0,8849.0,26160.0,2023-12-07,212.43281977785742,195.9610815703134,195.6266244773421,402.9141287471635,2023
2023-03-16,232140,와이씨,3925.0,4105.0,4130.0,3485.0,2023-12-07,-11.210191082802545,-15.103532277710109,-15.61743341404358,26.87898089171974,2023
2023-03-14,140410,메지온,18310.0,19520.0,19890.0,35100.0,2023-12-05,91.69852539595848,79.8155737704918,76.47058823529412,195.46695794647735,2023
2023-03-13,140410,메지온,19900.0,20400.0,18310.0,36250.0,2023-12-04,82.16080402010051,77.69607843137254,97.97924631348988,171.85929648241208,2023
2023-03-10,140410,메지온,18120.0,18960.0,19900.0,37550.0,2023-12-01,107.22958057395142,98.04852320675106,88.69346733668341,198.5651214128035,2023
2023-03-09,100790,미래에셋벤처투자,6310.0,6190.0,5940.0,4920.0,2023-11-30,-22.028526148969885,-20.516962843295637,-17.17171717171717,2.2187004754358197,2023
2023-03-09,001430,세아베스틸지주,25400.0,24850.0,24050.0,24600.0,2023-11-30,-3.149606299212604,-1.0060362173038184,2.2869022869022926,17.322834645669282,2023
2023-03-07,298380,에이비엘바이오,22200.0,22000.0,22050.0,19600.0,2023-11-28,-11.711711711711715,-10.909090909090914,-11.111111111111116,21.171171171171178,2023
2023-03-07,001430,세아베스틸지주,23750.0,23450.0,24700.0,25650.0,2023-11-28,8.000000000000007,9.38166311300639,3.8461538461538547,25.473684210526315,2023
2023-03-02,001430,세아베스틸지주,23000.0,23050.0,23500.0,25800.0,2023-11-23,12.173913043478258,11.93058568329719,9.787234042553195,29.565217391304355,2023
2023-02-28,257720,실리콘투,3820.0,3780.0,3800.0,8860.0,2023-11-22,131.93717277486908,134.39153439153438,133.1578947368421,177.74869109947642,2023
2023-02-28,347700,스피어,6430.0,6483.0,6367.0,2690.0,2023-11-22,-58.164852255054434,-58.506864106123714,-57.75090309407884,7.916018662519431,2023
2023-02-28,001430,세아베스틸지주,22500.0,22100.0,23000.0,25250.0,2023-11-22,12.222222222222223,14.253393665158365,9.782608695652172,32.44444444444446,2023
2023-02-27,007660,이수페타시스,8869.0,9024.0,8898.0,31412.0,2023-11-21,254.1774720938099,248.09397163120565,253.0231512699483,374.7885894689367,2023
2023-02-24,232140,와이씨,4120.0,4110.0,4040.0,3640.0,2023-11-20,-11.650485436893199,-11.435523114355227,-9.9009900990099,20.873786407766982,2023
2023-02-24,347700,스피어,6135.0,5911.0,5634.0,2885.0,2023-11-20,-52.97473512632437,-51.19269159194722,-48.79304224352148,13.105134474327617,2023
2023-02-24,007660,이수페타시스,9161.0,9345.0,8869.0,30294.0,2023-11-20,230.68442309791507,224.1733547351525,241.57176682827827,359.6550594913219,2023
2023-02-22,022100,포스코DX,7050.0,7030.0,6960.0,54700.0,2023-11-16,675.886524822695,678.0938833570412,685.9195402298851,819.1489361702129,2023
2023-02-20,022100,포스코DX,7140.0,7140.0,7100.0,58800.0,2023-11-14,723.5294117647059,723.5294117647059,728.169014084507,807.563025210084,2023
2023-02-17,022100,포스코DX,6750.0,6950.0,7140.0,57700.0,2023-11-13,754.8148148148148,730.2158273381294,708.1232492997199,860.0,2023
2023-02-15,007660,이수페타시스,7984.0,8129.0,8509.0,25285.0,2023-11-09,216.6958917835671,211.0468692336081,197.15595252086024,427.4173346693387,2023
2023-02-14,031980,피에스케이홀딩스,8960.0,8900.0,9570.0,31150.0,2023-11-08,247.65625,250.0,225.49634273772205,299.55357142857144,2023
2023-02-14,007660,이수페타시스,8052.0,8178.0,7984.0,25771.0,2023-11-08,220.05712866368606,215.12594766446563,222.78306613226454,422.96323894684554,2023
2023-02-13,007660,이수페타시스,7682.0,7731.0,8052.0,26014.0,2023-11-07,238.63577193439207,236.48945802612857,223.0750124192747,448.1515230408748,2023
2023-02-10,007660,이수페타시스,7478.0,7506.0,7682.0,25091.0,2023-11-06,235.53089061246322,234.27924327204903,226.6206717000781,463.10510831773206,2023
2023-02-09,007660,이수페타시스,7926.0,7740.0,7478.0,23048.0,2023-11-03,190.78980570275044,197.77777777777777,208.21075153784437,431.27681049709815,2023
2023-02-06,257720,실리콘투,3310.0,3260.0,3285.0,7850.0,2023-10-31,137.16012084592143,140.79754601226995,138.96499238964992,220.5438066465257,2023
2023-02-06,007660,이수페타시스,7293.0,7303.0,7527.0,21055.0,2023-10-31,188.70149458384753,188.30617554429688,179.72631858642222,477.38927738927737,2023
2023-02-06,022100,포스코DX,6580.0,6590.0,6560.0,49050.0,2023-10-31,645.4407294832827,644.3095599393021,647.7134146341464,884.8024316109422,2023
2023-02-02,007660,이수페타시스,7293.0,7293.0,7157.0,21881.0,2023-10-27,200.02742355683534,200.02742355683534,205.72865725862792,477.38927738927737,2023
2023-02-01,007660,이수페타시스,7206.0,7351.0,7293.0,21978.0,2023-10-26,204.99583680266446,198.97973064889132,201.3574660633484,484.3602553427699,2023
2023-02-01,108490,로보티즈,31162.0,30626.0,30821.0,19719.0,2023-10-26,-36.72100635389256,-35.61353098674329,-36.020894844424255,45.15756369937745,2023
2023-01-31,007660,이수페타시스,7478.0,7585.0,7206.0,23389.0,2023-10-25,212.77079433003476,208.35860250494397,224.5767416042187,463.10510831773206,2023
2023-01-31,108490,로보티즈,30626.0,31844.0,31162.0,20450.0,2023-10-25,-33.22667014954613,-35.78068081899259,-34.375200564790454,47.69803434989879,2023
2023-01-27,028670,팬오션,6120.0,6120.0,5870.0,4190.0,2023-10-23,-31.5359477124183,-31.5359477124183,-28.620102214650768,12.254901960784315,2023
2023-01-27,007660,이수페타시스,6467.0,7254.0,7420.0,22270.0,2023-10-23,244.3636925931653,207.0030328094844,200.13477088948787,551.1365393536415,2023
2023-01-26,319660,피에스케이,18520.0,18540.0,18250.0,18740.0,2023-10-20,1.1879049676025932,1.0787486515641875,2.6849315068493196,31.749460043196542,2023
2023-01-26,098460,고영,16970.0,16970.0,17390.0,10900.0,2023-10-20,-35.76900412492634,-35.76900412492634,-37.32029902242668,10.842663523865648,2023
