rule,type,train_n,train_hit,train_lift,test_n,test_hit,test_lift,test_mean_peak,passes_oos,target,feat,direction,cut
s3>=70 AND chart=box_breakout AND marcap<=200bn,combo3,106,0.7830188679245284,1.3637131203911128,65,0.6461538461538462,1.0861878129483764,62.7084474453179,False,hit_20,,,
s1>=70 AND slope60<=-1 AND marcap200~500bn,combo3,82,0.7560975609756098,1.3168267157229492,70,0.6428571428571429,1.0806460383925172,57.29031651221274,False,hit_20,,,
s3>=70 AND KOSDAQ AND chart=persistent_uptrend,combo3,234,0.7649572649572649,1.3322568605859835,145,0.6344827586206897,1.066568657049473,104.0027243242218,False,hit_20,,,
past_60>=30 AND pos252_top10 AND rs<=0.95,combo3,80,0.75,1.306207145434861,41,0.6341463414634146,1.0660031381432962,62.563343698585946,False,hit_20,,,
s1>=90 AND chart=box_breakout AND marcap<=200bn,combo3,124,0.7903225806451613,1.3764333360496384,65,0.6307692307692307,1.0603261983543673,48.131053401404124,False,hit_20,,,
KOSPI AND past_60>=30 AND marcap<=200bn,combo3,161,0.8012422360248447,1.3954511118931434,65,0.6307692307692307,1.0603261983543673,55.70757126321225,False,hit_20,,,
KOSDAQ AND chart=persistent_uptrend AND marcap200~500bn,combo3,110,0.7909090909090909,1.3774548079131261,59,0.6271186440677966,1.0541895440439244,98.94367122026912,False,hit_20,,,
s3>=90 AND KOSDAQ AND chart=persistent_uptrend,combo3,141,0.8439716312056738,1.4698690336335551,82,0.6219512195121951,1.0455030777943866,74.21211427095358,False,hit_20,,,
KOSDAQ AND pos252_top10 AND marcap<=200bn,combo3,172,0.7732558139534884,1.346709692580128,29,0.6206896551724138,1.0433823818962236,49.3872586687758,False,hit_20,,,
s2>=90 AND KOSDAQ AND chart=persistent_uptrend,combo3,154,0.8246753246753247,1.4362624023396307,88,0.6136363636363636,1.03152576392013,77.27299266281621,False,hit_20,,,
s3>=90 AND past_60>=30 AND marcap<=200bn,combo3,155,0.7935483870967742,1.3820514312988206,80,0.6125,1.0296155310239816,54.287625989189756,False,hit_20,,,
s10>=90 AND marcap500~3000bn AND price_high>=50000won,combo3,98,0.7551020408163265,1.3150929083289755,49,0.6122448979591837,1.0291867032309687,58.63290219090568,False,hit_20,,,
s2>=70 AND KOSDAQ AND chart=persistent_uptrend,combo3,206,0.7718446601941747,1.3442520137484977,125,0.608,1.022051008755234,107.49507660249527,False,hit_20,,,
s12>=80 AND KOSDAQ AND chart=sideways,combo3,100,0.78,1.3584554312522554,39,0.5897435897435898,0.9913618927703434,63.14801995731703,False,hit_20,,,
s12>=80 AND chart=sideways AND marcap200~500bn,combo3,90,0.7888888888888889,1.3739364048277796,48,0.5625,0.9455652835934525,53.08595306466267,False,hit_20,,,
KOSPI AND chart=sideways AND marcap<=200bn,combo3,112,0.8214285714285714,1.4306078259524666,55,0.5272727272727272,0.8863480638128524,34.184167290353656,False,hit_20,,,
s3>=70 AND new_high_60 AND slope60<=-1,combo3,80,0.75,1.306207145434861,56,0.4642857142857143,0.7804665832834846,52.41895012638484,False,hit_20,,,
is_first_pullback AND chart=sideways AND marcap<=200bn,combo3,137,0.7664233576642335,1.3348102216122666,42,0.4523809523809524,0.7604546196095492,37.36586278687042,False,hit_20,,,
s1>=90 AND KOSDAQ AND price_low<=5000won,combo3,97,0.7525773195876289,1.3106958297834344,31,0.45161290322580644,0.7591635251789727,47.99391773667764,False,hit_20,,,
chart=sideways AND pos252_top10 AND turnover_hot>=5pct,combo3,127,0.7637795275590551,1.3302057019126667,43,0.4186046511627907,0.7036764901160577,34.27175500712103,False,hit_20,,,
s1>=90 AND chart=sideways AND marcap<=200bn,combo3,92,0.7608695652173914,1.3251376837744968,25,0.4,0.672401979444233,39.791867269315105,False,hit_20,,,
s8>=70 AND gap_support_detected AND marcap<=200bn,combo3,80,0.7625,1.327977264525442,36,0.3888888888888889,0.6537241466818932,23.207796707784162,False,hit_20,,,
is_first_pullback AND chart=sideways AND pos252_top10,combo3,111,0.7747747747747747,1.3493551292179944,56,0.375,0.6303768557289684,19.126895798660623,False,hit_20,,,
s2>=90 AND chart=sideways AND pos252_top10,combo3,130,0.7615384615384615,1.3263026399800126,56,0.26785714285714285,0.4502691826635488,18.481324830212163,False,hit_20,,,
