rule,type,feat,direction,cut,train_n,train_winner_rate,train_loser_rate,train_winner_lift,train_loser_lift,train_mean_ret,train_median_ret,test_n,test_winner_rate,test_loser_rate,test_winner_lift,test_loser_lift,test_mean_ret,test_median_ret
past_240 >= 102.991,uni,past_240,ge,102.9907,751,0.11051930758988016,0.2996005326231691,0.715927756280217,1.7182081645150493,0.4922922217311539,-18.181818181818183,284,0.3415492957746479,0.30985915492957744,1.6592757867336028,1.6748323478200906,32.65668965787465,10.811965811965813
past_240 >= 145.73,uni,past_240,ge,145.7303,376,0.10372340425531915,0.34574468085106386,0.6719048979008996,1.982844717513053,-2.852043217055628,-16.723902051521303,167,0.41317365269461076,0.2634730538922156,2.0072330586352045,1.4241089424578017,41.48614085432347,20.210896309314588
range60_pct >= 102.418,uni,range60_pct,ge,102.418,483,0.2443064182194617,0.18012422360248448,1.5825809051370767,1.0330118872318361,36.30396295605035,8.541666666666666,148,0.2702702702702703,0.2905405405405405,1.312996164481313,1.5704125177809387,63.99841576575084,0.3618088419690167
range120_pct >= 86.532,uni,range120_pct,ge,86.532,1925,0.24103896103896105,0.16935064935064936,1.5614147999651358,0.9712254709046153,27.232302994099506,9.81012658227848,692,0.273121387283237,0.25289017341040465,1.32684713558061,1.366906983819274,40.28996754099985,5.677274760545454
range120_pct >= 101.342,uni,range120_pct,ge,101.3423,1447,0.2598479612992398,0.15825846579129232,1.683256726483398,0.9076118311453081,30.760968591077265,13.070539419087138,452,0.27654867256637167,0.28761061946902655,1.3434971815765646,1.554575881977015,46.11094307337414,3.1468066755734925
range120_pct >= 123.62,uni,range120_pct,ge,123.6196,967,0.27094105480868663,0.17063081695966908,1.7551161483311701,0.9785672283391122,32.46023717471317,14.374034003091191,283,0.2791519434628975,0.3003533568904594,1.3561440949748684,1.6234521713932297,53.82590331743327,4.2349726775956285
range120_pct >= 155.347,uni,range120_pct,ge,155.3467,484,0.25826446280991733,0.21074380165289255,1.6729990570747129,1.2086150763836714,30.984914969508974,7.612456747404845,145,0.2482758620689655,0.3724137931034483,1.2061454421304199,2.0129489722702907,16.049772325979397,-12.52927400468384
drawdown60 <= -34.8956,uni,drawdown60,le,-34.8956,484,0.23760330578512398,0.1115702479338843,1.5391591325087361,0.6398550404384142,30.316865028942104,12.345991405883382,105,0.2571428571428571,0.2761904761904762,1.249222065063649,1.4928484000699425,31.84712779581117,5.060728744939271
runup60 >= 98.8643,uni,runup60,ge,98.8643,485,0.23505154639175257,0.18969072164948453,1.5226292119283193,1.0878757251104128,33.310096154970864,6.968215158924205,157,0.25477707006369427,0.31210191082802546,1.237728868428244,1.6869547591389968,58.72418129513626,-2.1046643913538112
vol20 >= 4.2529,uni,vol20,ge,4.2529,1930,0.16476683937823836,0.26528497409326424,1.0673352575025212,1.5214085382936342,10.626139425316884,-9.041446430069637,1064,0.2349624060150376,0.2462406015037594,1.1414675302116677,1.330965111677603,26.104983248512756,-1.9801980198019802
vol20 >= 4.846,uni,vol20,ge,4.846,1448,0.16574585635359115,0.2824585635359116,1.0736771849160147,1.6198990227264518,10.237291838133256,-12.526283240568954,786,0.22137404580152673,0.24427480916030533,1.0754541102965258,1.320339727358517,28.01724346005068,-2.0448003321931787
vol20 >= 5.8509,uni,vol20,ge,5.8509,966,0.15631469979296067,0.2981366459627329,1.012583545236011,1.7098127788664872,8.991833048226818,-12.620129675980898,482,0.18464730290456433,0.23858921161825727,0.8970324418333949,1.2896082723454396,23.38871206366872,-2.1046643913538112
vol20 >= 7.2121,uni,vol20,ge,7.2121,483,0.14492753623188406,0.2981366459627329,0.9388191810135201,1.7098127788664872,8.442190651589812,-13.243243243243244,243,0.17695473251028807,0.2839506172839506,0.8596612747694522,1.5347930549888933,19.254636646028978,-7.835820895522389
s1>=70 AND chart=pullback_recovery,combo2,,,,174,0.12643678160919541,0.27011494252873564,0.8190388027462779,1.5491083929217804,-0.3047659396290389,-13.346223571436234,84,0.13095238095238096,0.32142857142857145,0.6361779035046362,1.7373666724951915,10.019705891653036,4.322972490175062
s1>=70 AND past_120<=-20,combo2,,,,137,0.1897810218978102,0.26277372262773724,1.2293734384950767,1.507006518599477,6.229043487283016,-5.7894736842105265,117,0.07692307692307693,0.24786324786324787,0.3736989083523737,1.3397357436525124,-2.93143565270802,-14.299065420560748
s1>=70 AND pos252_far,combo2,,,,193,0.06735751295336788,0.32124352331606215,0.43633202350732,1.8423306518399476,-7.4760212810745115,-16.90450054884742,243,0.1522633744855967,0.21810699588477367,0.73970853875511,1.1788990132523385,3.1648210233823333,-11.816578483245149
s1>=90 AND chart=sideways,combo2,,,,234,0.2564102564102564,0.18803418803418803,1.6609877817931509,1.0783755097480587,14.931874887463872,6.723788892019938,141,0.14184397163120568,0.19858156028368795,0.6890901856143061,1.073361285450142,10.128396821988275,-13.835125448028673
s1>=90 AND pos252_far,combo2,,,,93,0.13978494623655913,0.3010752688172043,0.9055062423323952,1.7266657722065692,-1.4926072061343194,-16.90450054884742,134,0.208955223880597,0.21641791044776118,1.0151224077631642,1.1697692687115218,7.323319068784338,-11.296296296296296
s2>=70 AND past_120<=-20,combo2,,,,553,0.10488245931283906,0.26220614828209765,0.6794130854278675,1.5037514814134323,-2.8931577864270905,-12.649572649572649,287,0.14634146341463414,0.24041811846689895,0.710939386621589,1.2994937712972163,18.794893344005214,-7.030303030303029
