Date,Code,Name,Market,Close,sell_date,sell_close,ret_180d,peak_180d,결과,peak등급,RF손절확률,RF위험,Score,Amount,chart_pattern,past_60,past_120,past_240,pos_252_high,slope60,drawdown60,For_20d,Inst_20d,PER_num,PBR_num,매수모드
2022-06-29,087010,펩트론,KOSDAQ,9633.0,2023-03-21,7297.0,-24.2,8.6,손절,일반,57.3,1,47.66,7527312897.0,sideways,-12.088452088452083,-11.671768539547745,-28.72509960159363,-31.118127213922687,-0.18005493986813131,-19.518427518427515,-86778.0,-92266.0,,41.98,주3건
2022-06-29,087010,펩트론,KOSDAQ,9633.0,2023-03-21,7297.0,-24.2,8.6,손절,일반,57.1,1,58.28,7527312897.0,sideways,-12.088452088452083,-11.671768539547745,-28.72509960159363,-31.118127213922687,-0.18005493986813131,-19.518427518427515,-86778.0,-92266.0,,41.98,주3건
2022-06-24,298380,에이비엘바이오,KOSDAQ,26800.0,2023-03-16,20250.0,-24.4,2.6,손절,일반,56.7,1,46.41,38822721200.0,V_recovery,-2.135922330097084,18.309859154929576,5.882352941176472,-23.751891074130103,-1.7294527736196623,-24.07407407407407,382136.0,723143.0,,37.26,주3건
2022-06-24,222080,씨아이에스,KOSDAQ,16550.0,2023-03-16,10500.0,-36.6,7.9,손절,일반,54.8,1,50.18,71886580000.0,mixed,10.600706713780927,12.186379928315416,39.11111111111112,-26.869158878504674,2.4366814728784263,-12.391930835734865,,,52.56,2.03,주3건
2022-06-21,033500,동성화인텍,KOSDAQ,11700.0,2023-03-13,10510.0,-10.2,21.4,중립,일반,39.9,0,45.45,14032558800.0,mixed,-7.623318385650224,-10.434782608695647,-19.844357976653693,-23.98523985239852,-1.0836566909861525,-18.253968253968257,-109541.0,510840.0,10.71,2.59,주3건
2022-06-17,033100,제룡전기,KOSDAQ,6510.0,2023-03-09,12630.0,94.0,103.2,익절,100%+,41.6,0,46.57,13653566220.0,mixed,22.27979274611398,17.529880478087655,-15.351506456241037,-21.64674634794157,3.8527414051550677,-12.539184952978054,298082.0,-18790.0,20.77,4.71,주3건
2022-06-07,010170,대한광통신,KOSDAQ,2302.0,2023-02-24,2089.0,-9.3,29.1,중립,일반,49.0,0,70.76,27595597924.0,mixed,20.305429864253387,-8.239861949956861,-23.24070732587513,-35.62348668280871,1.5942305309212566,-13.227016885553466,,,,49.49,주3건
2022-06-07,010170,대한광통신,KOSDAQ,2302.0,2023-02-24,2089.0,-9.3,29.1,중립,일반,49.0,0,64.91,27595597924.0,mixed,20.305429864253387,-8.239861949956861,-23.24070732587513,-35.62348668280871,1.5942305309212566,-13.227016885553466,,,,49.49,주3건
2022-06-07,010170,대한광통신,KOSDAQ,2302.0,2023-02-24,2089.0,-9.3,29.1,중립,일반,49.3,0,58.75,27595597924.0,mixed,20.305429864253387,-8.239861949956861,-23.24070732587513,-35.62348668280871,1.5942305309212566,-13.227016885553466,,,,49.49,주3건
2022-05-31,327260,RF머트리얼즈,KOSDAQ,14128.0,2023-02-21,13852.0,-2.0,21.6,중립,일반,35.7,0,51.49,7880527760.0,mixed,4.022191400832176,-10.826689047419224,-12.778765905048573,-22.689788988600533,1.186649234855636,-13.733905579399142,,,83.43,15.45,주3건
2022-05-31,327260,RF머트리얼즈,KOSDAQ,14128.0,2023-02-21,13852.0,-2.0,21.6,중립,일반,35.6,0,54.53,7880527760.0,mixed,4.022191400832176,-10.826689047419224,-12.778765905048573,-22.689788988600533,1.186649234855636,-13.733905579399142,,,83.43,15.45,주3건
2022-05-31,327260,RF머트리얼즈,KOSDAQ,14128.0,2023-02-21,13852.0,-2.0,21.6,중립,일반,35.6,0,53.72,7880527760.0,mixed,4.022191400832176,-10.826689047419224,-12.778765905048573,-22.689788988600533,1.186649234855636,-13.733905579399142,,,83.43,15.45,주3건
2022-05-25,058610,에스피지,KOSDAQ,19150.0,2023-02-15,18170.0,-5.1,16.2,중립,일반,30.0,0,51.35,74015630900.0,new_high_240,51.52838427947599,73.50000000000001,44.58333333333333,0.0,6.491957228301399,-13.953488372093027,501007.0,318034.0,300.94,10.67,주3건
2022-05-24,277810,레인보우로보틱스,KOSDAQ,22700.0,2023-02-14,75100.0,230.8,292.5,익절,슈퍼위너,42.8,0,40.06,43793089700.0,mixed,-4.524886877828049,10.182767624020883,-2.5404157043879882,-25.177304964539005,-2.4089688054482292,-22.352941176470587,-203.0,-60118.0,10328.77,109.29,주3건
2022-05-23,053800,안랩,KOSDAQ,115700.0,2023-02-13,78900.0,-31.8,5.1,손절,일반,49.0,0,47.68,72569932500.0,persistent_uptrend,60.02971768202081,51.90409026798308,56.5406976744186,-38.737201365187715,6.109320127828296,-45.847554038680315,-103365.0,95091.0,12.81,1.58,주3건
2022-05-17,357780,솔브레인,KOSDAQ,267400.0,2023-02-07,236500.0,-11.6,4.3,중립,일반,35.1,0,69.74,35959684600.0,mixed,1.6738197424892798,1.0665529010238872,-27.21966205837174,-35.5724775632309,1.3877146095068813,-12.340425531914889,-8847.0,115618.0,42.26,3.12,주3건
2022-05-17,357780,솔브레인,KOSDAQ,267400.0,2023-02-07,236500.0,-11.6,4.3,중립,일반,35.1,0,75.2,35959684600.0,mixed,1.6738197424892798,1.0665529010238872,-27.21966205837174,-35.5724775632309,1.3877146095068813,-12.340425531914889,-8847.0,115618.0,42.26,3.12,주3건
2022-05-17,357780,솔브레인,KOSDAQ,267400.0,2023-02-07,236500.0,-11.6,4.3,중립,일반,35.1,0,68.75,35959684600.0,mixed,1.6738197424892798,1.0665529010238872,-27.21966205837174,-35.5724775632309,1.3877146095068813,-12.340425531914889,-8847.0,115618.0,42.26,3.12,주3건
2022-05-11,183300,코미코,KOSDAQ,63000.0,2023-02-01,47650.0,-24.4,1.6,손절,일반,50.3,0,51.71,13173741000.0,mixed,1.773049645390068,-22.432432432432435,-17.291066282420754,-32.786885245901644,1.581197379793937,-11.129568106312293,-89507.0,148197.0,37.16,6.61,주3건
