n,invest,profit,final,ret_pct,avg_ret,avg_peak,SW_n,w100_n,w50_n,winrate,period,mode,filter,sort,combo
160,16000000,5230807.183699064,21230807.183699064,32.69254489811915,32.69254489811916,66.17428309317563,7,29,65,60.62499999999999,OOS,weekly_2,F06_외인기관동시,S05_변동성낮,F06_외인기관동시__S05_변동성낮
160,16000000,7246575.254038779,23246575.25403878,45.29109533774237,45.29109533774236,94.42867645209036,19,50,84,59.375,OOS,weekly_2,F06_외인기관동시,S06_변동성높,F06_외인기관동시__S06_변동성높
160,16000000,7384253.62481594,23384253.62481594,46.151585155099625,46.151585155099625,87.81098684300757,13,43,79,57.49999999999999,OOS,weekly_2,F06_외인기관동시,S07_slope강한,F06_외인기관동시__S07_slope강한
160,16000000,7502839.988699913,23502839.988699913,46.89274992937445,46.89274992937446,88.67826554300575,16,39,72,57.49999999999999,OOS,weekly_2,F06_외인기관동시,S08_외인매수강,F06_외인기관동시__S08_외인매수강
160,16000000,8453960.88134742,24453960.881347418,52.83725550842138,52.83725550842138,92.41043842259762,18,38,80,61.875,OOS,weekly_2,F06_외인기관동시,S09_52주고점근접,F06_외인기관동시__S09_52주고점근접
160,16000000,7895687.658628799,23895687.6586288,49.348047866429994,49.348047866429994,90.63520315343223,15,43,76,61.25000000000001,OOS,weekly_2,F06_외인기관동시,S10_랜덤,F06_외인기관동시__S10_랜덤
161,16100000,10689520.903636428,26789520.903636426,66.3945397741393,66.39453977413929,111.07024996617463,24,51,91,64.59627329192547,OOS,weekly_2,F07_눌림목,S01_거래대금낮,F07_눌림목__S01_거래대금낮
161,16100000,7143539.615426016,23243539.615426015,44.369811275937984,44.36981127593799,90.24469922702473,15,49,82,55.27950310559007,OOS,weekly_2,F07_눌림목,S02_거래대금높,F07_눌림목__S02_거래대금높
161,16100000,8303660.511243264,24403660.511243265,51.575531125734564,51.575531125734564,96.35028805717197,19,44,77,59.62732919254658,OOS,weekly_2,F07_눌림목,S03_점수낮,F07_눌림목__S03_점수낮
161,16100000,8438793.705491623,24538793.705491625,52.41486773597281,52.41486773597282,99.70584139592277,22,47,86,59.006211180124225,OOS,weekly_2,F07_눌림목,S04_점수높,F07_눌림목__S04_점수높
161,16100000,8441361.770434806,24541361.770434804,52.43081844990562,52.43081844990562,90.78096118223924,14,35,72,57.7639751552795,OOS,weekly_2,F07_눌림목,S05_변동성낮,F07_눌림목__S05_변동성낮
161,16100000,7356513.925328239,23456513.92532824,45.69263307657291,45.69263307657291,93.67955202045307,18,54,84,58.38509316770186,OOS,weekly_2,F07_눌림목,S06_변동성높,F07_눌림목__S06_변동성높
161,16100000,8720920.698057776,24820920.69805778,54.16720930470669,54.167209304706674,95.67994501415312,15,44,77,57.7639751552795,OOS,weekly_2,F07_눌림목,S07_slope강한,F07_눌림목__S07_slope강한
161,16100000,9700180.082326641,25800180.082326643,60.2495657287369,60.24956572873691,104.28236150891213,23,44,81,60.86956521739131,OOS,weekly_2,F07_눌림목,S08_외인매수강,F07_눌림목__S08_외인매수강
161,16100000,8991726.26316918,25091726.26316918,55.84923144825578,55.84923144825577,99.58751706785932,17,39,78,60.24844720496895,OOS,weekly_2,F07_눌림목,S09_52주고점근접,F07_눌림목__S09_52주고점근접
161,16100000,8591557.865914652,24691557.86591465,53.36371345288604,53.363713452886024,96.60189226460602,19,46,83,61.49068322981367,OOS,weekly_2,F07_눌림목,S10_랜덤,F07_눌림목__S10_랜덤
172,17200000,8037592.044727301,25237592.044727303,46.730186306554074,46.73018630655407,86.81078020706046,17,53,90,65.69767441860465,OOS,weekly_2,F08_안정추세60,S01_거래대금낮,F08_안정추세60__S01_거래대금낮
172,17200000,5068656.994684634,22268656.994684633,29.46893601560834,29.468936015608335,71.85022098625609,17,36,75,55.81395348837209,OOS,weekly_2,F08_안정추세60,S02_거래대금높,F08_안정추세60__S02_거래대금높
172,17200000,7421446.6185958795,24621446.61859588,43.14794545695278,43.14794545695279,88.84869152838938,21,40,83,62.7906976744186,OOS,weekly_2,F08_안정추세60,S03_점수낮,F08_안정추세60__S03_점수낮
172,17200000,5355165.046809606,22555165.046809606,31.134680504707013,31.13468050470702,78.33086488372075,19,41,82,60.46511627906976,OOS,weekly_2,F08_안정추세60,S04_점수높,F08_안정추세60__S04_점수높
172,17200000,4393088.5810292475,21593088.581029247,25.5412126804026,25.54121268040261,58.462641054473586,7,30,59,58.139534883720934,OOS,weekly_2,F08_안정추세60,S05_변동성낮,F08_안정추세60__S05_변동성낮
172,17200000,7722777.733250127,24922777.733250126,44.8998705421519,44.89987054215191,93.61324396638919,20,62,95,63.95348837209303,OOS,weekly_2,F08_안정추세60,S06_변동성높,F08_안정추세60__S06_변동성높
172,17200000,7694624.895387288,24894624.89538729,44.73619125225168,44.73619125225166,89.11636585792972,17,51,82,59.883720930232556,OOS,weekly_2,F08_안정추세60,S07_slope강한,F08_안정추세60__S07_slope강한
172,17200000,7676557.6649117,24876557.664911702,44.631149214602914,44.6311492146029,85.4603402510958,17,42,78,62.2093023255814,OOS,weekly_2,F08_안정추세60,S08_외인매수강,F08_안정추세60__S08_외인매수강
172,17200000,8311444.07351794,25511444.07351794,48.322349264639186,48.322349264639186,85.72184785843602,23,35,77,60.46511627906976,OOS,weekly_2,F08_안정추세60,S09_52주고점근접,F08_안정추세60__S09_52주고점근접
172,17200000,7080766.424585202,24280766.4245852,41.167246654565126,41.167246654565126,81.961768443669,16,43,82,63.95348837209303,OOS,weekly_2,F08_안정추세60,S10_랜덤,F08_안정추세60__S10_랜덤
169,16900000,9843960.718108512,26743960.718108512,58.24828827283144,58.248288272831445,103.81812696643318,19,52,84,63.31360946745562,OOS,weekly_2,F09_slope05_과열X,S01_거래대금낮,F09_slope05_과열X__S01_거래대금낮
169,16900000,5651788.954188065,22551788.954188064,33.442538190461924,33.44253819046193,74.70554896708815,16,35,68,55.02958579881657,OOS,weekly_2,F09_slope05_과열X,S02_거래대금높,F09_slope05_과열X__S02_거래대금높
169,16900000,5855262.12538505,22755262.12538505,34.646521451982544,34.64652145198255,81.33665959390625,18,38,70,57.98816568047337,OOS,weekly_2,F09_slope05_과열X,S03_점수낮,F09_slope05_과열X__S03_점수낮
169,16900000,6908962.385744486,23808962.385744486,40.881434235174474,40.881434235174474,83.81797330111155,18,47,82,67.45562130177515,OOS,weekly_2,F09_slope05_과열X,S04_점수높,F09_slope05_과열X__S04_점수높
169,16900000,4443908.253735349,21343908.25373535,26.295315110860052,26.295315110860052,61.92965340093173,11,28,58,60.35502958579882,OOS,weekly_2,F09_slope05_과열X,S05_변동성낮,F09_slope05_과열X__S05_변동성낮
169,16900000,7350178.873405173,24250178.873405173,43.49218268287085,43.49218268287086,91.36819449878458,22,51,84,63.31360946745562,OOS,weekly_2,F09_slope05_과열X,S06_변동성높,F09_slope05_과열X__S06_변동성높
169,16900000,10778166.577406444,27678166.577406444,63.776133594120964,63.77613359412097,107.4866333467821,24,55,81,59.171597633136095,OOS,weekly_2,F09_slope05_과열X,S07_slope강한,F09_slope05_과열X__S07_slope강한
